[287.675, 1648]
[288.063, 1649]
[288.452, 1659]
[288.84, 1657]
[289.229, 1653]
[289.617, 1651]
[290.006, 1658]
[290.394, 1654]
[290.783, 1649]
[291.172, 1650]
[291.56, 1646]
[291.949, 1645]
[292.337, 1650]
[292.726, 1650]
[293.115, 1650]
[293.503, 1648]
[293.892, 1654]
[294.281, 1652]
[294.669, 1651]
[295.058, 1663]
[295.447, 1653]
[295.835, 1645]
[296.224, 1645]
[296.613, 1653]
[297.002, 1641]
[297.391, 1652]
[297.779, 1644]
[298.168, 1646]
[298.557, 1649]
[298.946, 1652]
[299.335, 1649]
[299.723, 1653]
[300.112, 1649]
[300.501, 1657]
[300.89, 1655]
[301.279, 1648]
[301.668, 1653]
[302.057, 1655]
[302.446, 1643]
[302.835, 1651]
[303.224, 1654]
[303.613, 1652]
[304.002, 1644]
[304.391, 1660]
[304.78, 1658]
[305.169, 1649]
[305.558, 1657]
[305.947, 1661]
[306.336, 1651]
[306.725, 1650]
[307.114, 1653]
[307.503, 1645]
[307.892, 1648]
[308.281, 1648]
[308.67, 1648]
[309.06, 1650]
[309.449, 1652]
[309.838, 1660]
[310.227, 1650]
[310.616, 1655]
[311.005, 1649]
[311.395, 1661]
[311.784, 1654]
[312.173, 1653]
[312.562, 1653]
[312.952, 1650]
[313.341, 1642]
[313.73, 1645]
[314.12, 1651]
[314.509, 1647]
[314.898, 1652]
[315.288, 1657]
[315.677, 1655]
[316.066, 1656]
[316.456, 1651]
[316.845, 1646]
[317.234, 1645]
[317.624, 1652]
[318.013, 1647]
[318.403, 1644]
[318.792, 1655]
[319.182, 1650]
[319.571, 1649]
[319.961, 1648]
[320.35, 1646]
[320.74, 1657]
[321.129, 1652]
[321.519, 1655]
[321.908, 1656]
[322.298, 1655]
[322.687, 1650]
[323.077, 1649]
[323.467, 1648]
[323.856, 1653]
[324.246, 1653]
[324.635, 1650]
[325.025, 1648]
[325.415, 1656]
[325.804, 1647]
[326.194, 1650]
[326.584, 1659]
[326.974, 1659]
[327.363, 1656]
[327.753, 1653]
[328.143, 1658]
[328.533, 1653]
[328.922, 1655]
[329.312, 1648]
[329.702, 1649]
[330.092, 1648]
[330.482, 1646]
[330.871, 1644]
[331.261, 1647]
[331.651, 1654]
[332.041, 1658]
[332.431, 1657]
[332.821, 1652]
[333.211, 1654]
[333.601, 1653]
[333.99, 1654]
[334.38, 1655]
[334.77, 1643]
[335.16, 1653]
[335.55, 1645]
[335.94, 1642]
[336.33, 1655]
[336.72, 1653]
[337.11, 1652]
[337.5, 1660]
[337.891, 1660]
[338.281, 1657]
[338.671, 1649]
[339.061, 1645]
[339.451, 1645]
[339.841, 1655]
[340.231, 1652]
[340.621, 1647]
[341.012, 1654]
[341.402, 1644]
[341.792, 1654]
[342.182, 1653]
[342.572, 1651]
[342.962, 1660]
[343.353, 1655]
[343.743, 1662]
[344.133, 1661]
[344.523, 1653]
[344.914, 1654]
[345.304, 1648]
[345.694, 1648]
[346.085, 1649]
[346.475, 1648]
[346.865, 1653]
[347.256, 1656]
[347.646, 1646]
[348.036, 1644]
[348.427, 1656]
[348.817, 1643]
[349.208, 1656]
[349.598, 1649]
[349.989, 1648]
[350.379, 1655]
[350.77, 1654]
[351.16, 1657]
[351.551, 1651]
[351.941, 1651]
[352.332, 1655]
[352.722, 1643]
[353.113, 1650]
[353.503, 1651]
[353.894, 1653]
[354.284, 1659]
[354.675, 1655]
[355.066, 1659]
[355.456, 1652]
[355.847, 1659]
[356.237, 1651]
[356.628, 1651]
[357.019, 1645]
[357.409, 1649]
[357.8, 1651]
[358.191, 1648]
[358.582, 1649]
[358.972, 1643]
[359.363, 1645]
[359.754, 1657]
[360.145, 1654]
[360.535, 1652]
[360.926, 1653]
[361.317, 1657]
[361.708, 1650]
[362.099, 1651]
[362.489, 1654]
[362.88, 1648]
[363.271, 1652]
[363.662, 1650]
[364.053, 1648]
[364.444, 1650]
[364.835, 1652]
[365.226, 1644]
[365.617, 1647]
[366.008, 1661]
[366.399, 1659]
[366.79, 1654]
[367.181, 1656]
[367.572, 1650]
[367.963, 1655]
[368.354, 1656]
[368.745, 1655]
[369.136, 1656]
[369.527, 1646]
[369.918, 1648]
[370.309, 1652]
[370.7, 1654]
[371.091, 1663]
[371.482, 1651]
[371.873, 1655]
[372.265, 1656]
[372.656, 1656]
[373.047, 1653]
[373.438, 1648]
[373.829, 1654]
[374.221, 1649]
[374.612, 1651]
[375.003, 1647]
[375.394, 1650]
[375.786, 1645]
[376.177, 1648]
[376.568, 1648]
[376.959, 1652]
[377.351, 1655]
[377.742, 1653]
[378.133, 1653]
[378.525, 1657]
[378.916, 1648]
[379.308, 1653]
[379.699, 1648]
[380.09, 1646]
[380.482, 1653]
[380.873, 1654]
[381.265, 1653]
[381.656, 1657]
[382.048, 1653]
[382.439, 1661]
[382.831, 1649]
[383.222, 1651]
[383.614, 1657]
[384.005, 1647]
[384.397, 1655]
[384.788, 1654]
[385.18, 1656]
[385.571, 1646]
[385.963, 1653]
[386.355, 1655]
[386.746, 1651]
[387.138, 1659]
[387.53, 1649]
[387.921, 1655]
[388.313, 1661]
[388.705, 1653]
[389.096, 1653]
[389.488, 1645]
[389.88, 1644]
[390.271, 1657]
[390.663, 1650]
[391.055, 1654]
[391.447, 1656]
[391.839, 1661]
[392.23, 1653]
[392.622, 1652]
[393.014, 1658]
[393.406, 1656]
[393.798, 1652]
[394.189, 1656]
[394.581, 1652]
[394.973, 1644]
[395.365, 1644]
[395.757, 1656]
[396.149, 1650]
[396.541, 1654]
[396.933, 1651]
[397.325, 1652]
[397.717, 1655]
[398.109, 1656]
[398.501, 1654]
[398.893, 1657]
[399.285, 1657]
[399.677, 1653]
[400.069, 1645]
[400.461, 1648]
[400.853, 1651]
[401.245, 1644]
[401.637, 1649]
[402.029, 1659]
[402.421, 1657]
[402.814, 1655]
[403.206, 1661]
[403.598, 1653]
[403.99, 1656]
[404.382, 1649]
[404.774, 1645]
[405.167, 1646]
[405.559, 1654]
[405.951, 1650]
[406.343, 1656]
[406.736, 1645]
[407.128, 1654]
[407.52, 1657]
[407.913, 1655]
[408.305, 1655]
[408.697, 1650]
[409.09, 1652]
[409.482, 1654]
[409.874, 1654]
[410.267, 1651]
[410.659, 1654]
[411.051, 1653]
[411.444, 1655]
[411.836, 1654]
[412.229, 1661]
[412.621, 1655]
[413.014, 1664]
[413.406, 1652]
[413.799, 1652]
[414.191, 1648]
[414.584, 1652]
[414.976, 1659]
[415.369, 1656]
[415.761, 1653]
[416.154, 1654]
[416.546, 1650]
[416.939, 1655]
[417.332, 1650]
[417.724, 1648]
[418.117, 1653]
[418.509, 1653]
[418.902, 1654]
[419.295, 1655]
[419.687, 1655]
[420.08, 1655]
[420.473, 1652]
[420.866, 1651]
[421.258, 1655]
[421.651, 1660]
[422.044, 1646]
[422.437, 1655]
[422.829, 1659]
[423.222, 1655]
[423.615, 1663]
[424.008, 1662]
[424.401, 1656]
[424.793, 1643]
[425.186, 1647]
[425.579, 1648]
[425.972, 1661]
[426.365, 1664]
[426.758, 1656]
[427.151, 1652]
[427.544, 1651]
[427.937, 1651]
[428.33, 1658]
[428.723, 1652]
[429.116, 1651]
[429.509, 1659]
[429.902, 1654]
[430.295, 1646]
[430.688, 1662]
[431.081, 1659]
[431.474, 1653]
[431.867, 1653]
[432.26, 1649]
[432.653, 1653]
[433.046, 1651]
[433.439, 1654]
