[287.675, 1681]
[288.063, 1670]
[288.452, 1678]
[288.84, 1680]
[289.229, 1673]
[289.617, 1677]
[290.006, 1690]
[290.394, 1675]
[290.783, 1680]
[291.172, 1677]
[291.56, 1681]
[291.949, 1677]
[292.337, 1676]
[292.726, 1676]
[293.115, 1681]
[293.503, 1673]
[293.892, 1685]
[294.281, 1678]
[294.669, 1677]
[295.058, 1674]
[295.447, 1689]
[295.835, 1675]
[296.224, 1676]
[296.613, 1675]
[297.002, 1680]
[297.391, 1681]
[297.779, 1677]
[298.168, 1680]
[298.557, 1678]
[298.946, 1678]
[299.335, 1683]
[299.723, 1685]
[300.112, 1669]
[300.501, 1670]
[300.89, 1680]
[301.279, 1672]
[301.668, 1677]
[302.057, 1673]
[302.446, 1682]
[302.835, 1688]
[303.224, 1669]
[303.613, 1674]
[304.002, 1667]
[304.391, 1683]
[304.78, 1682]
[305.169, 1677]
[305.558, 1674]
[305.947, 1683]
[306.336, 1679]
[306.725, 1681]
[307.114, 1676]
[307.503, 1676]
[307.892, 1682]
[308.281, 1687]
[308.67, 1666]
[309.06, 1682]
[309.449, 1679]
[309.838, 1675]
[310.227, 1674]
[310.616, 1675]
[311.005, 1677]
[311.395, 1680]
[311.784, 1673]
[312.173, 1678]
[312.562, 1677]
[312.952, 1683]
[313.341, 1670]
[313.73, 1676]
[314.12, 1678]
[314.509, 1684]
[314.898, 1675]
[315.288, 1683]
[315.677, 1685]
[316.066, 1670]
[316.456, 1674]
[316.845, 1677]
[317.234, 1677]
[317.624, 1682]
[318.013, 1674]
[318.403, 1677]
[318.792, 1688]
[319.182, 1682]
[319.571, 1679]
[319.961, 1680]
[320.35, 1680]
[320.74, 1681]
[321.129, 1685]
[321.519, 1677]
[321.908, 1681]
[322.298, 1679]
[322.687, 1677]
[323.077, 1681]
[323.467, 1678]
[323.856, 1673]
[324.246, 1677]
[324.635, 1676]
[325.025, 1682]
[325.415, 1679]
[325.804, 1680]
[326.194, 1683]
[326.584, 1679]
[326.974, 1680]
[327.363, 1683]
[327.753, 1681]
[328.143, 1679]
[328.533, 1667]
[328.922, 1681]
[329.312, 1683]
[329.702, 1676]
[330.092, 1678]
[330.482, 1680]
[330.871, 1684]
[331.261, 1677]
[331.651, 1675]
[332.041, 1675]
[332.431, 1680]
[332.821, 1678]
[333.211, 1670]
[333.601, 1678]
[333.99, 1689]
[334.38, 1680]
[334.77, 1672]
[335.16, 1680]
[335.55, 1679]
[335.94, 1676]
[336.33, 1682]
[336.72, 1679]
[337.11, 1677]
[337.5, 1679]
[337.891, 1674]
[338.281, 1678]
[338.671, 1673]
[339.061, 1677]
[339.451, 1680]
[339.841, 1677]
[340.231, 1680]
[340.621, 1671]
[341.012, 1674]
[341.402, 1681]
[341.792, 1684]
[342.182, 1676]
[342.572, 1669]
[342.962, 1675]
[343.353, 1683]
[343.743, 1670]
[344.133, 1678]
[344.523, 1682]
[344.914, 1684]
[345.304, 1682]
[345.694, 1675]
[346.085, 1680]
[346.475, 1677]
[346.865, 1671]
[347.256, 1674]
[347.646, 1688]
[348.036, 1680]
[348.427, 1680]
[348.817, 1683]
[349.208, 1676]
[349.598, 1673]
[349.989, 1678]
[350.379, 1671]
[350.77, 1684]
[351.16, 1680]
[351.551, 1670]
[351.941, 1677]
[352.332, 1687]
[352.722, 1685]
[353.113, 1676]
[353.503, 1677]
[353.894, 1683]
[354.284, 1678]
[354.675, 1679]
[355.066, 1677]
[355.456, 1680]
[355.847, 1679]
[356.237, 1669]
[356.628, 1685]
[357.019, 1690]
[357.409, 1685]
[357.8, 1678]
[358.191, 1684]
[358.582, 1690]
[358.972, 1675]
[359.363, 1682]
[359.754, 1686]
[360.145, 1683]
[360.535, 1682]
[360.926, 1682]
[361.317, 1690]
[361.708, 1678]
[362.099, 1675]
[362.489, 1678]
[362.88, 1685]
[363.271, 1684]
[363.662, 1676]
[364.053, 1682]
[364.444, 1684]
[364.835, 1687]
[365.226, 1675]
[365.617, 1677]
[366.008, 1685]
[366.399, 1671]
[366.79, 1680]
[367.181, 1685]
[367.572, 1684]
[367.963, 1685]
[368.354, 1681]
[368.745, 1676]
[369.136, 1691]
[369.527, 1682]
[369.918, 1681]
[370.309, 1680]
[370.7, 1688]
[371.091, 1683]
[371.482, 1686]
[371.873, 1673]
[372.265, 1687]
[372.656, 1684]
[373.047, 1683]
[373.438, 1685]
[373.829, 1684]
[374.221, 1687]
[374.612, 1678]
[375.003, 1678]
[375.394, 1690]
[375.786, 1687]
[376.177, 1679]
[376.568, 1689]
[376.959, 1689]
[377.351, 1689]
[377.742, 1694]
[378.133, 1682]
[378.525, 1687]
[378.916, 1692]
[379.308, 1694]
[379.699, 1679]
[380.09, 1703]
[380.482, 1685]
[380.873, 1697]
[381.265, 1692]
[381.656, 1691]
[382.048, 1694]
[382.439, 1696]
[382.831, 1698]
[383.222, 1689]
[383.614, 1693]
[384.005, 1690]
[384.397, 1692]
[384.788, 1683]
[385.18, 1692]
[385.571, 1701]
[385.963, 1697]
[386.355, 1697]
[386.746, 1692]
[387.138, 1701]
[387.53, 1704]
[387.921, 1681]
[388.313, 1688]
[388.705, 1702]
[389.096, 1697]
[389.488, 1700]
[389.88, 1699]
[390.271, 1703]
[390.663, 1709]
[391.055, 1696]
[391.447, 1703]
[391.839, 1705]
[392.23, 1699]
[392.622, 1700]
[393.014, 1702]
[393.406, 1703]
[393.798, 1707]
[394.189, 1708]
[394.581, 1697]
[394.973, 1700]
[395.365, 1709]
[395.757, 1711]
[396.149, 1697]
[396.541, 1696]
[396.933, 1709]
[397.325, 1710]
[397.717, 1700]
[398.109, 1706]
[398.501, 1717]
[398.893, 1722]
[399.285, 1710]
[399.677, 1701]
[400.069, 1707]
[400.461, 1719]
[400.853, 1720]
[401.245, 1720]
[401.637, 1704]
[402.029, 1718]
[402.421, 1723]
[402.814, 1716]
[403.206, 1708]
[403.598, 1727]
[403.99, 1723]
[404.382, 1722]
[404.774, 1719]
[405.167, 1711]
[405.559, 1721]
[405.951, 1726]
[406.343, 1718]
[406.736, 1725]
[407.128, 1719]
[407.52, 1730]
[407.913, 1726]
[408.305, 1718]
[408.697, 1713]
[409.09, 1734]
[409.482, 1733]
[409.874, 1730]
[410.267, 1728]
[410.659, 1722]
[411.051, 1729]
[411.444, 1736]
[411.836, 1730]
[412.229, 1722]
[412.621, 1736]
[413.014, 1729]
[413.406, 1728]
[413.799, 1729]
[414.191, 1734]
[414.584, 1752]
[414.976, 1737]
[415.369, 1736]
[415.761, 1735]
[416.154, 1741]
[416.546, 1743]
[416.939, 1740]
[417.332, 1745]
[417.724, 1751]
[418.117, 1754]
[418.509, 1737]
[418.902, 1753]
[419.295, 1759]
[419.687, 1744]
[420.08, 1752]
[420.473, 1737]
[420.866, 1751]
[421.258, 1754]
[421.651, 1755]
[422.044, 1751]
[422.437, 1748]
[422.829, 1761]
[423.222, 1748]
[423.615, 1757]
[424.008, 1758]
[424.401, 1755]
[424.793, 1757]
[425.186, 1773]
[425.579, 1749]
[425.972, 1760]
[426.365, 1772]
[426.758, 1763]
[427.151, 1757]
[427.544, 1766]
[427.937, 1768]
[428.33, 1770]
[428.723, 1773]
[429.116, 1764]
[429.509, 1771]
[429.902, 1769]
[430.295, 1775]
[430.688, 1778]
[431.081, 1759]
[431.474, 1777]
[431.867, 1778]
[432.26, 1779]
[432.653, 1784]
[433.046, 1776]
[433.439, 1783]
[433.832, 1778]
[434.226, 1769]
[434.619, 1780]
[435.012, 1788]
[435.405, 1779]
[435.798, 1788]
[436.191, 1795]
[436.585, 1790]
[436.978, 1798]
[437.371, 1797]
[437.765, 1785]
[438.158, 1783]
[438.551, 1791]
[438.944, 1805]
[439.338, 1798]
[439.731, 1802]
[440.124, 1807]
[440.518, 1810]
[440.911, 1801]
[441.305, 1799]
[441.698, 1816]
[442.091, 1799]
[442.485, 1814]
[442.878, 1810]
[443.272, 1810]
[443.665, 1813]
[444.059, 1809]
[444.452, 1828]
[444.845, 1807]
[445.239, 1816]
[445.633, 1824]
[446.026, 1826]
[446.42, 1820]
[446.813, 1811]
[447.207, 1832]
[447.6, 1817]
[447.994, 1827]
[448.388, 1831]
[448.781, 1811]
[449.175, 1821]
[449.568, 1830]
[449.962, 1836]
[450.356, 1819]
[450.749, 1832]
[451.143, 1841]
[451.537, 1835]
[451.931, 1839]
[452.324, 1826]
[452.718, 1839]
[453.112, 1848]
[453.506, 1849]
[453.899, 1844]
[454.293, 1846]
[454.687, 1851]
[455.081, 1855]
[455.475, 1860]
[455.868, 1853]
[456.262, 1859]
[456.656, 1875]
[457.05, 1865]
[457.444, 1861]
[457.838, 1855]
[458.232, 1868]
[458.626, 1888]
[459.02, 1880]
[459.414, 1859]
[459.808, 1870]
[460.202, 1865]
[460.596, 1878]
[460.99, 1876]
[461.384, 1871]
[461.778, 1881]
[462.172, 1891]
[462.566, 1881]
[462.96, 1896]
[463.354, 1906]
[463.748, 1895]
[464.142, 1882]
[464.536, 1892]
[464.931, 1886]
[465.325, 1904]
[465.719, 1893]
[466.113, 1910]
[466.507, 1906]
[466.902, 1913]
[467.296, 1909]
[467.69, 1906]
[468.084, 1920]
[468.478, 1917]
[468.873, 1923]
[469.267, 1907]
[469.661, 1929]
[470.056, 1935]
[470.45, 1919]
[470.844, 1930]
[471.239, 1957]
[471.633, 1936]
[472.027, 1934]
[472.422, 1927]
[472.816, 1939]
[473.211, 1941]
[473.605, 1949]
[474, 1952]
[474.394, 1932]
[474.788, 1941]
[475.183, 1963]
[475.577, 1964]
[475.972, 1964]
[476.366, 1957]
[476.761, 1983]
[477.155, 1975]
[477.55, 1973]
[477.945, 1981]
[478.339, 1990]
[478.734, 1983]
[479.128, 1982]
[479.523, 1969]
[479.918, 1991]
[480.312, 1975]
[480.707, 1987]
[481.102, 2000]
[481.496, 2005]
[481.891, 1991]
[482.286, 2018]
[482.68, 2012]
[483.075, 2009]
[483.47, 2017]
[483.865, 2012]
[484.259, 2011]
[484.654, 1994]
[485.049, 2021]
[485.444, 2026]
[485.839, 2015]
[486.234, 2022]
[486.628, 2013]
[487.023, 2027]
[487.418, 2035]
[487.813, 2041]
[488.208, 2035]
[488.603, 2046]
[488.998, 2035]
