[287.675, 1694]
[288.063, 1691]
[288.452, 1684]
[288.84, 1686]
[289.229, 1689]
[289.617, 1676]
[290.006, 1676]
[290.394, 1686]
[290.783, 1682]
[291.172, 1689]
[291.56, 1698]
[291.949, 1685]
[292.337, 1695]
[292.726, 1693]
[293.115, 1683]
[293.503, 1687]
[293.892, 1675]
[294.281, 1675]
[294.669, 1682]
[295.058, 1680]
[295.447, 1687]
[295.835, 1685]
[296.224, 1691]
[296.613, 1686]
[297.002, 1684]
[297.391, 1694]
[297.779, 1685]
[298.168, 1689]
[298.557, 1671]
[298.946, 1682]
[299.335, 1677]
[299.723, 1685]
[300.112, 1677]
[300.501, 1689]
[300.89, 1693]
[301.279, 1683]
[301.668, 1684]
[302.057, 1692]
[302.446, 1688]
[302.835, 1686]
[303.224, 1684]
[303.613, 1678]
[304.002, 1688]
[304.391, 1686]
[304.78, 1685]
[305.169, 1679]
[305.558, 1683]
[305.947, 1689]
[306.336, 1677]
[306.725, 1687]
[307.114, 1683]
[307.503, 1682]
[307.892, 1684]
[308.281, 1684]
[308.67, 1681]
[309.06, 1674]
[309.449, 1692]
[309.838, 1689]
[310.227, 1689]
[310.616, 1687]
[311.005, 1690]
[311.395, 1685]
[311.784, 1683]
[312.173, 1682]
[312.562, 1684]
[312.952, 1675]
[313.341, 1688]
[313.73, 1682]
[314.12, 1689]
[314.509, 1681]
[314.898, 1685]
[315.288, 1680]
[315.677, 1685]
[316.066, 1684]
[316.456, 1687]
[316.845, 1685]
[317.234, 1695]
[317.624, 1682]
[318.013, 1682]
[318.403, 1684]
[318.792, 1690]
[319.182, 1683]
[319.571, 1689]
[319.961, 1687]
[320.35, 1685]
[320.74, 1684]
[321.129, 1686]
[321.519, 1681]
[321.908, 1687]
[322.298, 1683]
[322.687, 1677]
[323.077, 1688]
[323.467, 1678]
[323.856, 1680]
[324.246, 1684]
[324.635, 1687]
[325.025, 1687]
[325.415, 1692]
[325.804, 1681]
[326.194, 1683]
[326.584, 1692]
[326.974, 1681]
[327.363, 1688]
[327.753, 1683]
[328.143, 1686]
[328.533, 1678]
[328.922, 1689]
[329.312, 1680]
[329.702, 1680]
[330.092, 1686]
[330.482, 1699]
[330.871, 1677]
[331.261, 1688]
[331.651, 1688]
[332.041, 1681]
[332.431, 1687]
[332.821, 1688]
[333.211, 1674]
[333.601, 1678]
[333.99, 1678]
[334.38, 1688]
[334.77, 1684]
[335.16, 1691]
[335.55, 1688]
[335.94, 1680]
[336.33, 1689]
[336.72, 1686]
[337.11, 1693]
[337.5, 1683]
[337.891, 1678]
[338.281, 1685]
[338.671, 1675]
[339.061, 1685]
[339.451, 1680]
[339.841, 1683]
[340.231, 1694]
[340.621, 1688]
[341.012, 1693]
[341.402, 1686]
[341.792, 1693]
[342.182, 1695]
[342.572, 1682]
[342.962, 1683]
[343.353, 1684]
[343.743, 1685]
[344.133, 1685]
[344.523, 1679]
[344.914, 1682]
[345.304, 1680]
[345.694, 1685]
[346.085, 1678]
[346.475, 1680]
[346.865, 1691]
[347.256, 1683]
[347.646, 1691]
[348.036, 1683]
[348.427, 1689]
[348.817, 1679]
[349.208, 1680]
[349.598, 1673]
[349.989, 1681]
[350.379, 1678]
[350.77, 1687]
[351.16, 1685]
[351.551, 1685]
[351.941, 1693]
[352.332, 1687]
[352.722, 1687]
[353.113, 1684]
[353.503, 1680]
[353.894, 1686]
[354.284, 1687]
[354.675, 1684]
[355.066, 1689]
[355.456, 1678]
[355.847, 1682]
[356.237, 1695]
[356.628, 1695]
[357.019, 1693]
[357.409, 1686]
[357.8, 1696]
[358.191, 1692]
[358.582, 1687]
[358.972, 1691]
[359.363, 1687]
[359.754, 1693]
[360.145, 1681]
[360.535, 1686]
[360.926, 1683]
[361.317, 1684]
[361.708, 1677]
[362.099, 1683]
[362.489, 1688]
[362.88, 1690]
[363.271, 1688]
[363.662, 1693]
[364.053, 1693]
[364.444, 1692]
[364.835, 1692]
[365.226, 1684]
[365.617, 1692]
[366.008, 1688]
[366.399, 1691]
[366.79, 1688]
[367.181, 1683]
[367.572, 1686]
[367.963, 1688]
[368.354, 1685]
[368.745, 1693]
[369.136, 1694]
[369.527, 1685]
[369.918, 1700]
[370.309, 1694]
[370.7, 1698]
[371.091, 1690]
[371.482, 1697]
[371.873, 1694]
[372.265, 1683]
[372.656, 1692]
[373.047, 1691]
[373.438, 1693]
[373.829, 1684]
[374.221, 1682]
[374.612, 1687]
[375.003, 1702]
[375.394, 1692]
[375.786, 1690]
[376.177, 1698]
[376.568, 1700]
[376.959, 1700]
[377.351, 1693]
[377.742, 1705]
[378.133, 1701]
[378.525, 1707]
[378.916, 1701]
[379.308, 1696]
[379.699, 1699]
[380.09, 1700]
[380.482, 1685]
[380.873, 1698]
[381.265, 1692]
[381.656, 1691]
[382.048, 1692]
[382.439, 1698]
[382.831, 1697]
[383.222, 1699]
[383.614, 1715]
[384.005, 1704]
[384.397, 1705]
[384.788, 1700]
[385.18, 1708]
[385.571, 1703]
[385.963, 1699]
[386.355, 1697]
[386.746, 1705]
[387.138, 1701]
[387.53, 1701]
[387.921, 1706]
[388.313, 1704]
[388.705, 1714]
[389.096, 1713]
[389.488, 1705]
[389.88, 1715]
[390.271, 1715]
[390.663, 1712]
[391.055, 1706]
[391.447, 1709]
[391.839, 1713]
[392.23, 1707]
[392.622, 1710]
[393.014, 1705]
[393.406, 1717]
[393.798, 1693]
[394.189, 1705]
[394.581, 1715]
[394.973, 1721]
[395.365, 1714]
[395.757, 1723]
[396.149, 1711]
[396.541, 1717]
[396.933, 1713]
[397.325, 1712]
[397.717, 1717]
[398.109, 1707]
[398.501, 1706]
[398.893, 1713]
[399.285, 1722]
[399.677, 1716]
[400.069, 1718]
[400.461, 1716]
[400.853, 1724]
[401.245, 1731]
[401.637, 1726]
[402.029, 1717]
[402.421, 1721]
[402.814, 1723]
[403.206, 1725]
[403.598, 1721]
[403.99, 1723]
[404.382, 1727]
[404.774, 1715]
[405.167, 1730]
[405.559, 1721]
[405.951, 1719]
[406.343, 1735]
[406.736, 1726]
[407.128, 1735]
[407.52, 1740]
[407.913, 1727]
[408.305, 1726]
[408.697, 1736]
[409.09, 1739]
[409.482, 1734]
[409.874, 1737]
[410.267, 1735]
[410.659, 1736]
[411.051, 1732]
[411.444, 1734]
[411.836, 1747]
[412.229, 1741]
[412.621, 1744]
[413.014, 1751]
[413.406, 1741]
[413.799, 1747]
[414.191, 1728]
[414.584, 1747]
[414.976, 1735]
[415.369, 1740]
[415.761, 1737]
[416.154, 1749]
[416.546, 1735]
[416.939, 1745]
[417.332, 1748]
[417.724, 1751]
[418.117, 1751]
[418.509, 1760]
[418.902, 1749]
[419.295, 1757]
[419.687, 1765]
[420.08, 1753]
[420.473, 1753]
[420.866, 1752]
[421.258, 1759]
[421.651, 1775]
[422.044, 1760]
[422.437, 1751]
[422.829, 1744]
[423.222, 1760]
[423.615, 1769]
[424.008, 1773]
[424.401, 1776]
[424.793, 1767]
[425.186, 1769]
[425.579, 1762]
[425.972, 1765]
[426.365, 1765]
[426.758, 1771]
[427.151, 1752]
[427.544, 1778]
[427.937, 1773]
[428.33, 1767]
[428.723, 1776]
[429.116, 1771]
[429.509, 1781]
[429.902, 1777]
[430.295, 1779]
[430.688, 1774]
[431.081, 1774]
[431.474, 1789]
[431.867, 1791]
[432.26, 1794]
[432.653, 1790]
[433.046, 1774]
[433.439, 1781]
[433.832, 1782]
[434.226, 1778]
[434.619, 1784]
[435.012, 1793]
[435.405, 1801]
[435.798, 1815]
[436.191, 1807]
[436.585, 1801]
[436.978, 1801]
