 300	0.040513878
 310	0.046889575
 320	0.045571689
 330	0.040955231
 340	0.046192558
 350	0.049084625
 360	0.065288214
 370	0.085041368
 380	0.11393612
 390	0.149685014
 400	0.198764578
 420	0.327420154
 440	0.505950175
 460	0.753992814
 480	1.079983358
 500	1.497336452
 525	2.18964889
 550	3.107306806
 575	4.26534528
 600	5.677198345
 650	9.26074162
 700	13.762471113
 750	19.201528067
 800	24.956467017
 850	32.32742122
 900	41.544425169
 950	51.047973429
 1000	60.830584285
 1050	66.925194761
